aa,Country,Location,Name,Number,Image,bb
Australia,Melbourne,Albert Park Grand Prix Circuit,24,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Melbourne_Grand_Prix_Circuit%2C_March_22%2C_2018_SkySat_%28cropped%29.jpg/1200px-Melbourne_Grand_Prix_Circuit%2C_March_22%2C_2018_SkySat_%28cropped%29.jpg"
Malaysia,Kuala Lumpur,Sepang International Circuit,19,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Sepang-international-circuit.JPG/1200px-Sepang-international-circuit.JPG"
Bahrain,Sakhir,Bahrain International Circuit,18,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Bahrain_International_Circuit_back_straight.jpg/1200px-Bahrain_International_Circuit_back_straight.jpg"
Spain,Montmelo,Circuit de Barcelona-Catalunya,30,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Pit_Lane_Entrance%40circuitdeCatalunya.jpg/1200px-Pit_Lane_Entrance%40circuitdeCatalunya.jpg"
Turkey,Istanbul,Istanbul Park,8,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Istanbul_Park_aerial.jpg/1200px-Istanbul_Park_aerial.jpg"
Monaco,Monte Carlo,Circuit de Monaco,66,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Circuit_de_Monaco%2C_April_1%2C_2018_SkySat_%28cropped%29.jpg/1200px-Circuit_de_Monaco%2C_April_1%2C_2018_SkySat_%28cropped%29.jpg"
Canada,Montreal,Circuit Gilles Villeneuve,40,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Circuit_Gilles-Villeneuve%2C_May_29%2C_2018_SkySat_%28cropped%29.jpg/1200px-Circuit_Gilles-Villeneuve%2C_May_29%2C_2018_SkySat_%28cropped%29.jpg" 
France,Magny Cours,Circuit de Nevers Magny-Cours,18,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Magnycourt1new.jpg/1200px-Magnycourt1new.jpg"
United Kingdom,Silverstone,Silverstone Circuit,55,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Silverstone_Circuit%2C_July_2%2C_2018_SkySat_%28cropped%29.jpg/1200px-Silverstone_Circuit%2C_July_2%2C_2018_SkySat_%28cropped%29.jpg"
Germany,Hockenheim,Hockenheimring,38,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Hockenheimring%2C_April_29%2C_2018_SkySat_%28crop%29.jpg/1200px-Hockenheimring%2C_April_29%2C_2018_SkySat_%28crop%29.jpg" 
Hungary,Budapest,Hungaroring,34,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Hungaroring_Exit.JPG/1200px-Hungaroring_Exit.JPG"
Spain,Valencia,Valencia Street Circuit,5,"https://upload.wikimedia.org/wikipedia/commons/f/ff/Swing-bridge_Valencia_Street_Circuit.jpg" 
Belgium,Spa,Circuit de Spa-Francorchamps,54,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Eau_Rouge_1997.jpg/1200px-Eau_Rouge_1997.jpg"
Italy,Monza,Autodromo Nazionale di Monza,69,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Autodromo_Nazionale_Monza%2C_April_22%2C_2018_SkySat_%28cropped%29.jpg/1200px-Autodromo_Nazionale_Monza%2C_April_22%2C_2018_SkySat_%28cropped%29.jpg"
Singapore,Marina Bay,Marina Bay Street Circuit,12,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/1_singapore_f1_night_race_2012_city_skyline.jpg/1200px-1_singapore_f1_night_race_2012_city_skyline.jpg"
Japan,Suzuka,Suzuka Circuit,31,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Suzuka_Circuit_2006.jpg/1200px-Suzuka_Circuit_2006.jpg"
China,Shanghai,Shanghai International Circuit,16,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Shanghai_International_Circuit%2C_April_7%2C_2018_SkySat_%28rotated%29.jpg/1200px-Shanghai_International_Circuit%2C_April_7%2C_2018_SkySat_%28rotated%29.jpg"
Brazil,Sao Paulo,Autodromo Jose Carlos Pace,37,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace%2C_July_3%2C_2018_SkySat_%28cropped%29.jpg/1200px-Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace%2C_July_3%2C_2018_SkySat_%28cropped%29.jpg" 
USA,Indianapolis,Indianapolis Motor Speedway,19,"https://upload.wikimedia.org/wikipedia/commons/2/29/Indianapolis-motor-speedway-1848561.jpg"
Germany,Nurburg,Nurburgring,41,"https://upload.wikimedia.org/wikipedia/commons/1/1d/Nurburgring_mercedes.jpg"
Italy,Imola,Autodromo Enzo e Dino Ferrari,28,"https://upload.wikimedia.org/wikipedia/commons/4/40/Imola2008.jpg"
Japan,Oyama,Fuji Speendway,4,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Fisco_hairpin2.jpg/1200px-Fisco_hairpin2.jpg"
Austria,Spielburg,A1-Ring,25,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Red_Bull_Ring%2C_April_18%2C_2018_SkySat.jpg/1200px-Red_Bull_Ring%2C_April_18%2C_2018_SkySat.jpg" 
UAE,Abu Dhabi,Yas Marina Circuit,12,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Yas_Marina_Circuit%2C_October_12%2C_2018_SkySat_%28cropped%29.jpg/1200px-Yas_Marina_Circuit%2C_October_12%2C_2018_SkySat_%28cropped%29.jpg"
Argentina,Buenos Aires,Autodromo Juan y Oscar Galvez,20,"https://www.motorsport.com/f1/photos/wilson-fittipaldi-jr-copersucar-fittipaldi-fd01-ford-11977265/11977265/"
Spain,Jerez de la Frontera,Circuito de Jerez,7,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Circuito_Jerez_-_20170528_140446.jpg/1200px-Circuito_Jerez_-_20170528_140446.jpg"
Portugal,Estoril,Autodromo do Estoril,13,"https://upload.wikimedia.org/wikipedia/commons/8/8e/SL_Estoril.jpg" 
Japan,Okayama,Okayama International Circuit,2,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Aston_Martin_Racing_won_2009_1000km_of_Okayama_%28Race_2%29.jpg/1200px-Aston_Martin_Racing_won_2009_1000km_of_Okayama_%28Race_2%29.jpg" 
Australia,Adelaide,Adelaide Street Circuit,11,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Adelaide_Grand_Prix_Track_Senna_Chicane.jpeg/1200px-Adelaide_Grand_Prix_Track_Senna_Chicane.jpeg"
South Africa,Midrand,Kyalami,20,"kyalami.jpg"
UK,Castle Donington,Donington Park,1,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/SF_Donington_4.jpg/1200px-SF_Donington_4.jpg"
Mexico,Mexico City,Autodromo Hermanos Rodriguez,20,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez%2C_June_4%2C_2018_SkySat_%28cropped%29.jpg/1200px-Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez%2C_June_4%2C_2018_SkySat_%28cropped%29.jpg"
USA,Phoenix,Phoenix Street Circuit,3,"phoenix.jpg"
France,La Castellet,Circuit Paul Ricard,16,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Circuit_Paul_Ricard%2C_April_22%2C_2018_SkySat_%28cropped%29.jpg/1200px-Circuit_Paul_Ricard%2C_April_22%2C_2018_SkySat_%28cropped%29.jpg"
Korea,Yeongam Country,Korean International Circuit,3,"resources/Korean.jpg"
Brazil,Rio de Janeiro,Autodromo International Nelson Piquet,10,"resources/nelson.jpg"
USA,Detroit,Detroit Street Circuit,7,"detroit.jpg"
UK,Kent,Brands Hatch Circuit,14,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Brands-hatch.jpg/1200px-Brands-hatch.jpg" 
Netherlands,Zandvoort,Circuit Park Zandvoort,30,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Circuit_Zandvoort_motorsport_race_track_in_the_Netherlands_%2846940292845%29.jpg/1200px-Circuit_Zandvoort_motorsport_race_track_in_the_Netherlands_%2846940292845%29.jpg" 
Belgium,Heusden-Zolder, Circuit Zolder,10,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Circuit_Zolder_6-11-2008_16-29-22.jpg/1200px-Circuit_Zolder_6-11-2008_16-29-22.jpg"
France,Dijon,Dijon-Prenois Circuit,6,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Dijon-Parabolique2000.jpg/1200px-Dijon-Parabolique2000.jpg" 
USA,Dallas,Fair Park Circuit,1,"fair park.jpg"
USA,California,Long Beach Circuit,8,"https://upload.wikimedia.org/wikipedia/commons/f/f9/Mark_Smith_Long_Beach_Grand_Prix_1993_Indy_car_race_CART.jpg"
USA,Nevada,Caesars Palace Circuit,2,"las vegas.jpg"
Spain,Madrid,Jarama,9,"jarama.jpg"
USA,New York State,Watkins Glen,20,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Tom_pryce_watglen_75_full.jpg/1200px-Tom_pryce_watglen_75_full.jpg"
Sweden,Anderstorp,Scandinavian Raceway,6,"resources/scandinavian.jpg"
Canada,Ontario,Mosport International Raceway,8,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Moss_Corner_Turn_5a_and_5b_at_Canadian_Tire_Motorsport_Park.jpg/1200px-Moss_Corner_Turn_5a_and_5b_at_Canadian_Tire_Motorsport_Park.jpg" 
Spain,Barcelona,Montjuic Circuit,4,"resources/montjuic.jpg"
Belgium,Brussels,Nivelles-Baulers,2,"resources/baulers.jpg"
France,Clermont-Ferrand,Circuit de Charade Circuit,4,"resources/charade.jpg"
Canada,Quebec,Circuit Mont-Tremblant,2,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Mont-Tremblant_Control_Tower.JPG/1200px-Mont-Tremblant_Control_Tower.JPG"
France,Rouen,Rouen-Les-Essarts,5,"resources/rouen.jpg"
France,Le Mans,Circuit des 24 heures du Mans,1,"resources/mans.jpg"
France,Reims,Reims-Gueux,11,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Reimsstands.png/1200px-Reimsstands.png" 
South Africa,Eastern Cape Province,Prince George Circuit,3,"resources/prince.jpg"
Austria,Styria,Zeltweg Airfield ,1,"resources/airbase.jpg"
UK,Liverpool,Aintree,5,"resources/aintree.jpg"
Portugal,Lisbon,Monsanto Park Circuit,1,"resources/monsanto.jpg"
USA,Caliornia,Riverside International Raceway,1,"https://upload.wikimedia.org/wikipedia/commons/0/03/RiversideInternationalRaceway_1988.jpg"
Germany,Berlin,AVUS,1,"https://upload.wikimedia.org/wikipedia/commons/b/bb/Bundesarchiv_Bild_102-13505%2C_Berlin%2C_Automobilrennen_auf_der_Avus.jpg"
Portugal,Oporto,Circuito de Boavista,2,"resources/boavista.jpg"
USA,Florida,Sebring International Raceway,1,"https://upload.wikimedia.org/wikipedia/commons/c/c2/Sebring_satellite.png"
Morocco,Casablanca,Ain Diab,1,"resources/morocco.jpg"
Italy,Pescara,Pescara Circuit,1,"resources/pescara.jpg"
Switzerland,Bern,Circuit Bermgarten,5,"resources/bern.jpg"
Spain,Barcelona,Circuit de Pedralbes,2,"resources/pd.jpg"
India,Uttar Pradesh,Buddh International Circuit,3,"https://upload.wikimedia.org/wikipedia/commons/1/11/Buddh_international_circuit.jpg" 
USA,Austin,Circuit of the Americas,8,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/2018_US_Grand_Prix_at_the_Circuit_of_the_Americas.jpg/1200px-2018_US_Grand_Prix_at_the_Circuit_of_the_Americas.jpg" 
Austria,Spielburg,Red Bull Ring,8,"resources/red bull.jpg"
Azerbaijan,Baku,Baku City Circuit,4,"resources/baku.jpg"
Portugal,Portimao,Autodromo Internacional do Algarve,1,"resources/algavre.jpg"
Italy,Mugello,Autodromo Internazionale del Mugello,1,"https://upload.wikimedia.org/wikipedia/commons/e/e6/Mitjet-italie.jpg"
Russia,Sochi,Sochi Autodrom,7,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Sochi_Autodrom%2C_July_10%2C_2018_SkySat_%28cropped%29.jpg/1200px-Sochi_Autodrom%2C_July_10%2C_2018_SkySat_%28cropped%29.jpg"